x,y,z
819 ,1863 ,462 
819 ,1863 ,462 
819 ,1863 ,462 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
793 ,1834 ,461 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
780 ,1826 ,462 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
820 ,1804 ,463 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
775 ,1816 ,490 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
744 ,1866 ,493 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
802 ,1831 ,461 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
798 ,1860 ,459 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
779 ,1853 ,473 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
720 ,1873 ,492 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
779 ,1801 ,430 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
768 ,1804 ,447 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
654 ,1875 ,408 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
770 ,1842 ,486 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
777 ,1804 ,425 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
784 ,1835 ,484 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
773 ,1034 ,6 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
761 ,1336 ,147 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
773 ,1488 ,182 
765 ,1650 ,336 
765 ,1650 ,336 
765 ,1650 ,336 
765 ,1650 ,336 
1770 ,1791 ,-24 
1770 ,1791 ,-24 
1770 ,1791 ,-24 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1693 ,1703 ,3 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
1676 ,1698 ,-10 
